Transaction, Victim Sender, Victim Receiver, Attacked Contract, Attacked Function, Error
0x2666f10f2673ae27f47c61b43a3b4d8396a209c54fa3fdc19f22db2f1cdd0450, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, removeLiquidityETH, 
0x855884c1b25acaabaa19de8410b4204adbaae66759c404b1a61a53d0542884cd, 0x4d953115678b15ce0b0396bcf95db68003f86fb5, 0x0240539ec9ec47a9d0dd4c5bc37435093a3c19a2, 0x34cfac646f301356faa8b21e94227e3583fe3f5f, execTransaction, 
0x21439a6485a2fdf514e3602d2e771e800fa8806de47f0adbef5d59a3ddf346e2, 0x4d953115678b15ce0b0396bcf95db68003f86fb5, 0x4efbcfacba805254e59462af3b0f0c83ddd6af3a, 0x34cfac646f301356faa8b21e94227e3583fe3f5f, execTransaction, 
0xf96a026005e9554fd76810a8cd9f9b49f464c5ebccb485aec5259d2148f7cce6, 0x5cf1bf4c01def49ed397a73fd810043fa1b43059, 0x755c1a8f71f4210cd7b60b9439451efcbeba33d1, 0x755c1a8f71f4210cd7b60b9439451efcbeba33d1, swap, 
0x95880a8db0645192476242ac7541c8a308ed6419138c816cc9888e52e4c7849b, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xdd974d5c2e2928dea5f71b9825b8b646686bd200, execute, Failed to get attacked function from relayed transaction
0x0a36479f4d293fbd665f04b3ee02c2251251393f7b4fbae28a9b0853e95c251f, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x380a059e614fa002a2eaa797d7b93284e61f217ae64819072b0a6f12c24f8ad6, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x67933cccf3f6b40148271f5e7b5408fd1d5b2837, 0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974, execute, Failed to get attacked function from relayed transaction
0x16229cf4d72f5b51ed7c3cac15c52ab8575195d6e318db67ca3c590360640688, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, removeLiquidityETH, 
0x3a0fddab6ddea03a2bb198e7fe31551f083ee1f04cb4b2c90022f889fe967c2f, 0x4d953115678b15ce0b0396bcf95db68003f86fb5, 0x4efbcfacba805254e59462af3b0f0c83ddd6af3a, 0x34cfac646f301356faa8b21e94227e3583fe3f5f, execTransaction, 
0x517d1ab7a2b7cf30abff0c95bcf90a0782068485f612ac1900cd6d61a7aa986f, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x2e6dd0d3cbdbef1b8bd2b1e924a810a35646933c5937db32741eade4e6255c7e, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xa478c2975ab1ea89e8196811f51a7b7ade33eb11, execute, Failed to get attacked function from relayed transaction
