Transaction, Token Contract, Token Address
0xc21c63b58ea31c08fd562f813bd015cfcd3dca3f3f795bd9e3c1bd3a7255575b, 0x6b3595068778dd592e39a122f4f5a5cf09c90fe2, SushiToken (SUSHI)
0x5966acd1bb2c6c072a6d9cb66a87ecbb14171f48219e7ad63649f0ac24a8153f, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x356a5768638b281329ac64ee73b92f391eada4dcfcb5d39ab5370cad8ac6f045, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xba8d93d64a6071f4582c9cfd9368794b1860a18486bcc3e412338a8c2988d74f, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x2ab712ef53ac8c9cf5a027773dadbe4ba0710d56ce36692995716815fdc9e226, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xc2e4925b88a2cbcd53a57f264098dbfa8aadce2c1f62d0fc4b12d6432f20c3fc, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xe6826ff69ac8e1e8c7234501c12e768fb5b4f03a2ff4246160f4a1b4e1ef0717, 0x0d8775f648430679a709e98d2b0cb6250d2887ef, BAT (BAT)
0x1e058a15e4e68d9c3533fb73ae5a40a04a849d90e7de78f51fea1d1d9d3cc03c, 0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f, Synthetix Network Token (SNX)
0x1916015a696c4c9b09446610c30184c2998d5bc617bb08fd75e7e14effff492f, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x9ceb776ac2d9c64f5ca6a626759525c232bb4cb75ea3ff892e58d468aed7a812, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0xefd2442c5104ebeef5115003aa3aa54e45497f7f322f932ad4666e1653380267, 0xb4efd85c19999d84251304bda99e90b92300bd93, Rocket Pool (RPL)
0x12b7bbbea0b7b16baa89bc93d66846bdfadc92464863d6947c960a37987de2ff, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x29b54f64ae3a0ab56f4f0775d541acf98906873478789e858be9bd404ccdb421, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xd41afaf81e9b8dc758682e1cbf5c9807758d8ac68b18de200f6e04e2810f0dd8, 0x178c820f862b14f316509ec36b13123da19a6054, Energy Web Token Bridged (EWTB)
